illuminant,light_folder,method,method_key,point,status,finite_area_factor,finite_area_relative_to_center,proxy_factor,proxy_relative_error
D65,d65,R3DG,r3dg,center,pass,0.32161050913390593,1.0,0.32238540695977835,0.0024094294305220783
D65,d65,R3DG,r3dg,edge,pass,0.2999523161220626,0.932657073084556,0.32238540695977835,0.07478885686812585
D65,d65,R3DG,r3dg,corner,pass,0.2802352249931465,0.871349713502265,0.32238540695977835,0.15041000633543722
D65,d65,GS-IR,gsir,center,pass,0.32161050913390593,1.0,0.323850793270117,0.006965830010481135
D65,d65,GS-IR,gsir,edge,pass,0.2999523161220626,0.932657073084556,0.323850793270117,0.07967425441825622
D65,d65,GS-IR,gsir,corner,pass,0.2802352249931465,0.871349713502265,0.323850793270117,0.1556391359367373
D50,d50,R3DG,r3dg,center,pass,0.32161050913390593,1.0,0.32238540695977835,0.0024094294305220783
D50,d50,R3DG,r3dg,edge,pass,0.2999523161220626,0.932657073084556,0.32238540695977835,0.07478885686812585
D50,d50,R3DG,r3dg,corner,pass,0.2802352249931465,0.871349713502265,0.32238540695977835,0.15041000633543722
D50,d50,GS-IR,gsir,center,pass,0.32161050913390593,1.0,0.323850793270117,0.006965830010481135
D50,d50,GS-IR,gsir,edge,pass,0.2999523161220626,0.932657073084556,0.323850793270117,0.07967425441825622
D50,d50,GS-IR,gsir,corner,pass,0.2802352249931465,0.871349713502265,0.323850793270117,0.1556391359367373
D75,d75,R3DG,r3dg,center,pass,0.32161050913390593,1.0,0.32238540695977835,0.0024094294305220783
D75,d75,R3DG,r3dg,edge,pass,0.2999523161220626,0.932657073084556,0.32238540695977835,0.07478885686812585
D75,d75,R3DG,r3dg,corner,pass,0.2802352249931465,0.871349713502265,0.32238540695977835,0.15041000633543722
D75,d75,GS-IR,gsir,center,pass,0.32161050913390593,1.0,0.323850793270117,0.006965830010481135
D75,d75,GS-IR,gsir,edge,pass,0.2999523161220626,0.932657073084556,0.323850793270117,0.07967425441825622
D75,d75,GS-IR,gsir,corner,pass,0.2802352249931465,0.871349713502265,0.323850793270117,0.1556391359367373
Illuminant A,illuminant_a,R3DG,r3dg,center,pass,0.32161050913390593,1.0,0.32238540695977835,0.0024094294305220783
Illuminant A,illuminant_a,R3DG,r3dg,edge,pass,0.2999523161220626,0.932657073084556,0.32238540695977835,0.07478885686812585
Illuminant A,illuminant_a,R3DG,r3dg,corner,pass,0.2802352249931465,0.871349713502265,0.32238540695977835,0.15041000633543722
Illuminant A,illuminant_a,GS-IR,gsir,center,pass,0.32161050913390593,1.0,0.323850793270117,0.006965830010481135
Illuminant A,illuminant_a,GS-IR,gsir,edge,pass,0.2999523161220626,0.932657073084556,0.323850793270117,0.07967425441825622
Illuminant A,illuminant_a,GS-IR,gsir,corner,pass,0.2802352249931465,0.871349713502265,0.323850793270117,0.1556391359367373
LED-B5,led_b5,R3DG,r3dg,center,pass,0.32161050913390593,1.0,0.32238540695977835,0.0024094294305220783
LED-B5,led_b5,R3DG,r3dg,edge,pass,0.2999523161220626,0.932657073084556,0.32238540695977835,0.07478885686812585
LED-B5,led_b5,R3DG,r3dg,corner,pass,0.2802352249931465,0.871349713502265,0.32238540695977835,0.15041000633543722
LED-B5,led_b5,GS-IR,gsir,center,pass,0.32161050913390593,1.0,0.323850793270117,0.006965830010481135
LED-B5,led_b5,GS-IR,gsir,edge,pass,0.2999523161220626,0.932657073084556,0.323850793270117,0.07967425441825622
LED-B5,led_b5,GS-IR,gsir,corner,pass,0.2802352249931465,0.871349713502265,0.323850793270117,0.1556391359367373
LED-RGB1,led_rgb1,R3DG,r3dg,center,pass,0.32161050913390593,1.0,0.32238540695977835,0.0024094294305220783
LED-RGB1,led_rgb1,R3DG,r3dg,edge,pass,0.2999523161220626,0.932657073084556,0.32238540695977835,0.07478885686812585
LED-RGB1,led_rgb1,R3DG,r3dg,corner,pass,0.2802352249931465,0.871349713502265,0.32238540695977835,0.15041000633543722
LED-RGB1,led_rgb1,GS-IR,gsir,center,pass,0.32161050913390593,1.0,0.323850793270117,0.006965830010481135
LED-RGB1,led_rgb1,GS-IR,gsir,edge,pass,0.2999523161220626,0.932657073084556,0.323850793270117,0.07967425441825622
LED-RGB1,led_rgb1,GS-IR,gsir,corner,pass,0.2802352249931465,0.871349713502265,0.323850793270117,0.1556391359367373
